start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual,start_datetime,end_datetime,Solar_Forecast,Solar_actual
2025-05-22 00:00:00,2025-05-22 01:00:00,0,0,2025-05-23 00:00:00,2025-05-23 01:00:00,0,0,2025-05-24 00:00:00,2025-05-24 01:00:00,0,0,2025-05-25 00:00:00,2025-05-25 01:00:00,0,0,2025-05-26 00:00:00,2025-05-26 01:00:00,0,0,2025-06-15 00:00:00,2025-06-15 01:00:00,0,0,2025-05-28 00:00:00,2025-05-28 01:00:00,0,0,2025-05-29 00:00:00,2025-05-29 01:00:00,0,0,2025-06-01 00:00:00,2025-06-01 01:00:00,0,0,2025-06-02 00:00:00,2025-06-02 01:00:00,0,0,2025-06-03 00:00:00,2025-06-03 01:00:00,0,0,2025-06-04 00:00:00,2025-06-04 01:00:00,0,0,2025-06-07 00:00:00,2025-06-07 01:00:00,0.0,0.0,2025-06-10 00:00:00,2025-06-10 01:00:00,0,0,2025-05-21 00:00:00,2025-05-21 01:00:00,0,0,2025-05-27 00:00:00,2025-05-27 01:00:00,0,0
2025-05-22 01:00:00,2025-05-22 02:00:00,0,0,2025-05-23 01:00:00,2025-05-23 02:00:00,0,0,2025-05-24 01:00:00,2025-05-24 02:00:00,0,0,2025-05-25 01:00:00,2025-05-25 02:00:00,0,0,2025-05-26 01:00:00,2025-05-26 02:00:00,0,0,2025-06-15 01:00:00,2025-06-15 02:00:00,0,0,2025-05-28 01:00:00,2025-05-28 02:00:00,0,0,2025-05-29 01:00:00,2025-05-29 02:00:00,0,0,2025-06-01 01:00:00,2025-06-01 02:00:00,0,0,2025-06-02 01:00:00,2025-06-02 02:00:00,0,0,2025-06-03 01:00:00,2025-06-03 02:00:00,0,0,2025-06-04 01:00:00,2025-06-04 02:00:00,0,0,2025-06-07 01:00:00,2025-06-07 02:00:00,0.0,0.0,2025-06-10 01:00:00,2025-06-10 02:00:00,0,0,2025-05-21 01:00:00,2025-05-21 02:00:00,0,0,2025-05-27 01:00:00,2025-05-27 02:00:00,0,0
2025-05-22 02:00:00,2025-05-22 03:00:00,0,0,2025-05-23 02:00:00,2025-05-23 03:00:00,0,0,2025-05-24 02:00:00,2025-05-24 03:00:00,0,0,2025-05-25 02:00:00,2025-05-25 03:00:00,0,0,2025-05-26 02:00:00,2025-05-26 03:00:00,0,0,2025-06-15 02:00:00,2025-06-15 03:00:00,0,0,2025-05-28 02:00:00,2025-05-28 03:00:00,0,0,2025-05-29 02:00:00,2025-05-29 03:00:00,0,0,2025-06-01 02:00:00,2025-06-01 03:00:00,0,0,2025-06-02 02:00:00,2025-06-02 03:00:00,0,0,2025-06-03 02:00:00,2025-06-03 03:00:00,0,0,2025-06-04 02:00:00,2025-06-04 03:00:00,0,0,2025-06-07 02:00:00,2025-06-07 03:00:00,0.0,0.0,2025-06-10 02:00:00,2025-06-10 03:00:00,0,0,2025-05-21 02:00:00,2025-05-21 03:00:00,0,0,2025-05-27 02:00:00,2025-05-27 03:00:00,0,0
2025-05-22 03:00:00,2025-05-22 04:00:00,0,0,2025-05-23 03:00:00,2025-05-23 04:00:00,0,0,2025-05-24 03:00:00,2025-05-24 04:00:00,0,0,2025-05-25 03:00:00,2025-05-25 04:00:00,0,0,2025-05-26 03:00:00,2025-05-26 04:00:00,0,0,2025-06-15 03:00:00,2025-06-15 04:00:00,0,0,2025-05-28 03:00:00,2025-05-28 04:00:00,0,0,2025-05-29 03:00:00,2025-05-29 04:00:00,0,0,2025-06-01 03:00:00,2025-06-01 04:00:00,0,0,2025-06-02 03:00:00,2025-06-02 04:00:00,0,0,2025-06-03 03:00:00,2025-06-03 04:00:00,0,0,2025-06-04 03:00:00,2025-06-04 04:00:00,0,0,2025-06-07 03:00:00,2025-06-07 04:00:00,0.0,0.0,2025-06-10 03:00:00,2025-06-10 04:00:00,0,0,2025-05-21 03:00:00,2025-05-21 04:00:00,0,0,2025-05-27 03:00:00,2025-05-27 04:00:00,0,0
2025-05-22 04:00:00,2025-05-22 05:00:00,0,0,2025-05-23 04:00:00,2025-05-23 05:00:00,0,0,2025-05-24 04:00:00,2025-05-24 05:00:00,0,0,2025-05-25 04:00:00,2025-05-25 05:00:00,0,0,2025-05-26 04:00:00,2025-05-26 05:00:00,0,0,2025-06-15 04:00:00,2025-06-15 05:00:00,0,0,2025-05-28 04:00:00,2025-05-28 05:00:00,0,0,2025-05-29 04:00:00,2025-05-29 05:00:00,0,0,2025-06-01 04:00:00,2025-06-01 05:00:00,0,0,2025-06-02 04:00:00,2025-06-02 05:00:00,0,0,2025-06-03 04:00:00,2025-06-03 05:00:00,0,0,2025-06-04 04:00:00,2025-06-04 05:00:00,0,0,2025-06-07 04:00:00,2025-06-07 05:00:00,0.0,0.0,2025-06-10 04:00:00,2025-06-10 05:00:00,0,0,2025-05-21 04:00:00,2025-05-21 05:00:00,0,0,2025-05-27 04:00:00,2025-05-27 05:00:00,0,0
2025-05-22 05:00:00,2025-05-22 06:00:00,8929,9437,2025-05-23 05:00:00,2025-05-23 06:00:00,12366,8716,2025-05-24 05:00:00,2025-05-24 06:00:00,15003,25393,2025-05-25 05:00:00,2025-05-25 06:00:00,4459,3245,2025-05-26 05:00:00,2025-05-26 06:00:00,19464,11506,2025-06-15 05:00:00,2025-06-15 06:00:00,51470,48892,2025-05-28 05:00:00,2025-05-28 06:00:00,9763,7211,2025-05-29 05:00:00,2025-05-29 06:00:00,23825,40420,2025-06-01 05:00:00,2025-06-01 06:00:00,35650,18270,2025-06-02 05:00:00,2025-06-02 06:00:00,40567,24442,2025-06-03 05:00:00,2025-06-03 06:00:00,50779,57098,2025-06-04 05:00:00,2025-06-04 06:00:00,30166,18650,2025-06-07 05:00:00,2025-06-07 06:00:00,30853.0,19008.0,2025-06-10 05:00:00,2025-06-10 06:00:00,25931,16898,2025-05-21 05:00:00,2025-05-21 06:00:00,11229,20502,2025-05-27 05:00:00,2025-05-27 06:00:00,8601,7910
2025-05-22 06:00:00,2025-05-22 07:00:00,568650,447559,2025-05-23 06:00:00,2025-05-23 07:00:00,674405,576901,2025-05-24 06:00:00,2025-05-24 07:00:00,633430,716814,2025-05-25 06:00:00,2025-05-25 07:00:00,175042,118180,2025-05-26 06:00:00,2025-05-26 07:00:00,771251,565008,2025-06-15 06:00:00,2025-06-15 07:00:00,798570,436442,2025-05-28 06:00:00,2025-05-28 07:00:00,307853,234701,2025-05-29 06:00:00,2025-05-29 07:00:00,546940,563121,2025-06-01 06:00:00,2025-06-01 07:00:00,977394,756228,2025-06-02 06:00:00,2025-06-02 07:00:00,961069,648728,2025-06-03 06:00:00,2025-06-03 07:00:00,1164176,1143847,2025-06-04 06:00:00,2025-06-04 07:00:00,612330,430210,2025-06-07 06:00:00,2025-06-07 07:00:00,506981.0,413924.0,2025-06-10 06:00:00,2025-06-10 07:00:00,497841,354307,2025-05-21 06:00:00,2025-05-21 07:00:00,662676,653125,2025-05-27 06:00:00,2025-05-27 07:00:00,327177,263789
2025-05-22 07:00:00,2025-05-22 08:00:00,2479354,2375976,2025-05-23 07:00:00,2025-05-23 08:00:00,2928308,2506553,2025-05-24 07:00:00,2025-05-24 08:00:00,2275341,2259193,2025-05-25 07:00:00,2025-05-25 08:00:00,682095,500732,2025-05-26 07:00:00,2025-05-26 08:00:00,3156611,2584001,2025-06-15 07:00:00,2025-06-15 08:00:00,2445794,1477648,2025-05-28 07:00:00,2025-05-28 08:00:00,1273913,1255033,2025-05-29 07:00:00,2025-05-29 08:00:00,1809224,1920101,2025-06-01 07:00:00,2025-06-01 08:00:00,3600747,2670292,2025-06-02 07:00:00,2025-06-02 08:00:00,3441184,2372084,2025-06-03 07:00:00,2025-06-03 08:00:00,4064286,3751875,2025-06-04 07:00:00,2025-06-04 08:00:00,1990598,1484563,2025-06-07 07:00:00,2025-06-07 08:00:00,1479035.0,1164692.0,2025-06-10 07:00:00,2025-06-10 08:00:00,1806272,1166026,2025-05-21 07:00:00,2025-05-21 08:00:00,2951316,2598355,2025-05-27 07:00:00,2025-05-27 08:00:00,1265889,1007882
2025-05-22 08:00:00,2025-05-22 09:00:00,3421253,4929482,2025-05-23 08:00:00,2025-05-23 09:00:00,4393155,5845115,2025-05-24 08:00:00,2025-05-24 09:00:00,2152149,3873008,2025-05-25 08:00:00,2025-05-25 09:00:00,1302701,1464141,2025-05-26 08:00:00,2025-05-26 09:00:00,6232932,5670055,2025-06-15 08:00:00,2025-06-15 09:00:00,4895665,4108253,2025-05-28 08:00:00,2025-05-28 09:00:00,3109115,2997707,2025-05-29 08:00:00,2025-05-29 09:00:00,2404035,2419802,2025-06-01 08:00:00,2025-06-01 09:00:00,6529910,5037747,2025-06-02 08:00:00,2025-06-02 09:00:00,5931616,5507224,2025-06-03 08:00:00,2025-06-03 09:00:00,7445339,7175987,2025-06-04 08:00:00,2025-06-04 09:00:00,3819499,3207200,2025-06-07 08:00:00,2025-06-07 09:00:00,2370652.0,2288468.0,2025-06-10 08:00:00,2025-06-10 09:00:00,3626574,2572298,2025-05-21 08:00:00,2025-05-21 09:00:00,4193394,6027147,2025-05-27 08:00:00,2025-05-27 09:00:00,1735523,1675541
2025-05-22 09:00:00,2025-05-22 10:00:00,5835289,8332147,2025-05-23 09:00:00,2025-05-23 10:00:00,7077960,9435088,2025-05-24 09:00:00,2025-05-24 10:00:00,2091727,5628236,2025-05-25 09:00:00,2025-05-25 10:00:00,2389880,2719111,2025-05-26 09:00:00,2025-05-26 10:00:00,10359740,10199788,2025-06-15 09:00:00,2025-06-15 10:00:00,8500332,7318215,2025-05-28 09:00:00,2025-05-28 10:00:00,3883844,4611802,2025-05-29 09:00:00,2025-05-29 10:00:00,2798666,3352944,2025-06-01 09:00:00,2025-06-01 10:00:00,8771472,7449837,2025-06-02 09:00:00,2025-06-02 10:00:00,9312518,8661493,2025-06-03 09:00:00,2025-06-03 10:00:00,10517297,9827698,2025-06-04 09:00:00,2025-06-04 10:00:00,5376271,5224214,2025-06-07 09:00:00,2025-06-07 10:00:00,3352665.0,3938779.0,2025-06-10 09:00:00,2025-06-10 10:00:00,3937150,3674726,2025-05-21 09:00:00,2025-05-21 10:00:00,7422170,10131374,2025-05-27 09:00:00,2025-05-27 10:00:00,1781856,2672594
2025-05-22 10:00:00,2025-05-22 11:00:00,9572262,11805832,2025-05-23 10:00:00,2025-05-23 11:00:00,9580215,10904417,2025-05-24 10:00:00,2025-05-24 11:00:00,2510353,7738103,2025-05-25 10:00:00,2025-05-25 11:00:00,3406627,4185219,2025-05-26 10:00:00,2025-05-26 11:00:00,13883652,12435388,2025-06-15 10:00:00,2025-06-15 11:00:00,10248713,10210225,2025-05-28 10:00:00,2025-05-28 11:00:00,5768189,6415851,2025-05-29 10:00:00,2025-05-29 11:00:00,2597344,5005671,2025-06-01 10:00:00,2025-06-01 11:00:00,10921764,9797801,2025-06-02 10:00:00,2025-06-02 11:00:00,11706187,12538438,2025-06-03 10:00:00,2025-06-03 11:00:00,14175607,13735814,2025-06-04 10:00:00,2025-06-04 11:00:00,7172224,7851061,2025-06-07 10:00:00,2025-06-07 11:00:00,5053828.0,5798437.0,2025-06-10 10:00:00,2025-06-10 11:00:00,4923999,4634362,2025-05-21 10:00:00,2025-05-21 11:00:00,9864865,12744572,2025-05-27 10:00:00,2025-05-27 11:00:00,1960745,4091604
2025-05-22 11:00:00,2025-05-22 12:00:00,12648545,14553052,2025-05-23 11:00:00,2025-05-23 12:00:00,13752640,12307093,2025-05-24 11:00:00,2025-05-24 12:00:00,2894230,8208294,2025-05-25 11:00:00,2025-05-25 12:00:00,6935689,7387908,2025-05-26 11:00:00,2025-05-26 12:00:00,15275719,13992760,2025-06-15 11:00:00,2025-06-15 12:00:00,14925409,13942307,2025-05-28 11:00:00,2025-05-28 12:00:00,7269772,9129856,2025-05-29 11:00:00,2025-05-29 12:00:00,3324424,6201848,2025-06-01 11:00:00,2025-06-01 12:00:00,12756917,10667705,2025-06-02 11:00:00,2025-06-02 12:00:00,12217181,14207671,2025-06-03 11:00:00,2025-06-03 12:00:00,17079724,15545806,2025-06-04 11:00:00,2025-06-04 12:00:00,9210264,8924056,2025-06-07 11:00:00,2025-06-07 12:00:00,7132264.0,8541772.0,2025-06-10 11:00:00,2025-06-10 12:00:00,6060047,4745232,2025-05-21 11:00:00,2025-05-21 12:00:00,9827416,14975819,2025-05-27 11:00:00,2025-05-27 12:00:00,3684240,6142708
2025-05-22 12:00:00,2025-05-22 13:00:00,17544914,17275843,2025-05-23 12:00:00,2025-05-23 13:00:00,15420349,15227810,2025-05-24 12:00:00,2025-05-24 13:00:00,5151553,7822919,2025-05-25 12:00:00,2025-05-25 13:00:00,13082764,12923838,2025-05-26 12:00:00,2025-05-26 13:00:00,17455091,15850985,2025-06-15 12:00:00,2025-06-15 13:00:00,17362397,17330585,2025-05-28 12:00:00,2025-05-28 13:00:00,6606206,10485640,2025-05-29 12:00:00,2025-05-29 13:00:00,4011493,6171269,2025-06-01 12:00:00,2025-06-01 13:00:00,13029205,12211782,2025-06-02 12:00:00,2025-06-02 13:00:00,14398969,15751166,2025-06-03 12:00:00,2025-06-03 13:00:00,17617694,16417262,2025-06-04 12:00:00,2025-06-04 13:00:00,12308655,10692201,2025-06-07 12:00:00,2025-06-07 13:00:00,8431209.0,9525977.0,2025-06-10 12:00:00,2025-06-10 13:00:00,6653779,5577917,2025-05-21 12:00:00,2025-05-21 13:00:00,10554065,14993186,2025-05-27 12:00:00,2025-05-27 13:00:00,5555734,8109028
2025-05-22 13:00:00,2025-05-22 14:00:00,18729480,19183810,2025-05-23 13:00:00,2025-05-23 14:00:00,16031539,15369021,2025-05-24 13:00:00,2025-05-24 14:00:00,4810417,7024207,2025-05-25 13:00:00,2025-05-25 14:00:00,17326241,13370252,2025-05-26 13:00:00,2025-05-26 14:00:00,19210929,16999060,2025-06-15 13:00:00,2025-06-15 14:00:00,18311762,18108540,2025-05-28 13:00:00,2025-05-28 14:00:00,9317840,12955122,2025-05-29 13:00:00,2025-05-29 14:00:00,3956262,6099722,2025-06-01 13:00:00,2025-06-01 14:00:00,13751653,12294465,2025-06-02 13:00:00,2025-06-02 14:00:00,18166094,15284395,2025-06-03 13:00:00,2025-06-03 14:00:00,18928219,17504731,2025-06-04 13:00:00,2025-06-04 14:00:00,14861213,11243361,2025-06-07 13:00:00,2025-06-07 14:00:00,9256966.0,9474283.0,2025-06-10 13:00:00,2025-06-10 14:00:00,7201346,5938282,2025-05-21 13:00:00,2025-05-21 14:00:00,16906134,16148448,2025-05-27 13:00:00,2025-05-27 14:00:00,10477074,11723935
